index	sentence	label
1	The authors report a case of @Disease$ ( UI ) that occurred in a woman after administration of @Chemical$.	1
2	We report the first case of a patient in a @Chemical$-induced @Disease$ responding to treatment with flumazenil.	1
3	Two patients treated with 5-fluorouracil ( @Chemical$ ) for disseminated adenocarcinoma of the colon developed cerebellar dysfunction typical of 5-FU @Disease$.	1
4	"With skin testing and oral rechallenge with @Chemical$, but not rofecoxib, the allergist determined the cause of the reactions to be aspirin-induced @Disease$ and selective COX-2 inhibitor intolerance."	0
5	"After receiving 3 doses of ifosfamide / @Chemical$, she was found to be @Disease$."	1
6	@Disease$ secondary to @Chemical$ in a patient with antiphospholipid antibody syndrome.	1
7	Phenylpropanolamine ( @Chemical$ ) recently has been publicly implicated as a cause of stroke and other @Disease$.	1
8	Patients with atrial fibrillation and a further risk factor for @Disease$ (CHA2DS2-VASc &gt;0) should therefore either receive @Chemical$ or a novel oral agent.	0
9	"OBJECTIVE: We investigated whether subjects with @Disease$ and/or nasal polyps (NP) and analgesic intolerance proven by oral @Chemical$ provocation test tolerated the selective COX-2 inhibitor, meloxicam."	0
10	"In patients who stopped clopidogrel for up to 5 days before surgery, the @Chemical$ test failed to exhibit prognostic utility for predicting @Disease$ risk."	0
11	"METHODS: To estimate the numbers and rates of emergency department (ED) visits for hemorrhage-related AEs (@Disease$ or evaluation for potential hemorrhage) from DAT in the United States and put them in the context of those from @Chemical$, we analyzed AEs from the National Electronic Injury Surveillance System-Cooperative Adverse Drug Event Surveillance project, 2006-2008, and outpatient prescribing from the National Ambulatory Medical Care Survey and the National Hospital Ambulatory Medical Care Survey, 2006-2007."	0
12	@Chemical$-induced @Disease$ in schizophrenic patients taking clozapine as a first-line antipsychotic drug.	1
13	@Chemical$-induced @Disease$ is reviewed.	1
14	The aim of this study was to assess a possible detrimental effect of @Chemical$ on survival in stable patients with @Disease$ who had congestive heart failure and had been treated with ACE-Is.	0
15	"To evaluate the @Disease$ risk in patients requiring chronic @Chemical$ therapy and undergoing stent implantation, we compared 107 consecutive patients on chronic warfarin therapy who underwent coronary stenting and were discharged on aspirin, clopidogrel and warfarin to 107 contemporary patients who were treated with aspirin and clopidogrel."	0
16	Effect of @Chemical$ and other NSAIDs on postmenopausal @Disease$ incidence by hormone receptor status: results from a prospective cohort study.	0
17	"In case 1, a total daily dose of 25 mg @Chemical$, with nondetectable sertraline and desmethylsertraline blood levels, resulted in a doubling of the lamotrigine blood level with @Disease$."	1
18	"CONCLUSIONS: In DES-treated patients on prolonged DAPT, major @Disease$ occurring at 1 year and up to 4 years following DES implantation in patients on prolonged @Chemical$ is associated with poor long-term prognosis."	0
19	We describe a patient in whom @Disease$ developed during intrabiliary infusion of @Chemical$.	1
20	A 60-year-old white man with chronic bronchitis was noted to develop @Disease$ and metabolic acidosis four days after being started on methazolamide ( @Chemical$ ) for an ophthalmologic problem.	1
21	"HPR was defined as on-clopidogrel P2Y12 platelet reaction units &gt;208 as measured by the VerifyNow assay; target vessel failure (@Chemical$) was defined as the composite of all-cause @Disease$, myocardial infarction, or ischemia-driven target vessel revascularization."	0
22	"However, @Disease$ and bone marrow depression led to @Chemical$ withdrawal in seven patients, and neuropathy may not be fully reversible in all patients."	1
23	"However, follow-up revealed that gestational diabetes when associated with @Chemical$ had a lesser risk of emerging @Disease$ and impaired glucose tolerance."	1
24	"A 50-year-old diabetic and hypertensive male patient is reported who had @Chemical$-induced @Disease$ partially responsive to colony-stimulating factors and corticosteroids, but experienced complete recovery with cyclosporine."	1
25	"METHODS: We searched PubMed, EMBase, @Disease$ and Cochrane Central Register of Controlled Trials (up to June, 2013) for randomized controlled trials evaluating the efficacy and safety of clopidogrel plus @Chemical$ versus aspirin alone in high vascular risk patients."	0
26	"We report a 59-year-old patient with chronic myeloid leukemia, who developed @Disease$ after short term and sequential treatment with melphalan and @Chemical$."	1
27	"Considering the patient's previous history of @Disease$ disorders prior to initiation of treatment and Hp(+) serology, it appears that decreasing risk of symptomatic or complicated gastro-duodenal ulcer was higher in treatment with @Chemical$ in patients who did not have a previous history of ulcer, whatever their Hp status."	0
28	The authors intend to carry out a case-control study on patients treated with @Chemical$ for breast carcinoma to reveal the possible presence of @Disease$.	1
29	We report on a child with @Disease$ @Chemical$-related hepatotoxic effects despite this supplementation.	1
30	AIM: To determine the preventive effect and safety of proton pump inhibitors (PPIs) in low-dose @Chemical$ (LDA)-associated gastrointestinal (GI) @Disease$s and bleeding.	0
31	"In monocytes, we found no changes in basal or lipopolysaccharide (LPS)-stimulated @Chemical$ synthesis, but the response to EP4 receptor activation with respect to inhibition of LPS-induced @Disease$ factor-alpha release was reduced in AERD patients, especially in the presence of aspirin (acetylsalicylic acid)."	0
32	@Disease$ due to combination therapy with methotrexate and @Chemical$ in psoriasis.	1
33	A study on the effects of recent aspirin ingestion on platelet function in cardiac surgery showed a greater @Disease$ in patients treated with aspirin &@Chemical$;2 days before the operation.	0
34	@Disease$ associated with @Chemical$ therapy.	1
35	"A patient is presented with typical hyperthyroidism, who developed a @Disease$ and a raised creatine phosphokinase after treatment for hyperthyroidism with @Chemical$ ( 100 mg orally, three times a day )."	1
36	Comparison of bleeding complications with omega-3 fatty acids + aspirin + clopidogrel--versus--@Chemical$ + clopidogrel in patients with @Disease$.	0
37	"Dual antiplatelet therapy (DAPT) with acetylsalicylic acid and a P2Y12 inhibitor (@Chemical$, ticagrelor, or prasugrel) reduces thrombotic events in patients with @Disease$ (ACS), but it is also associated with an increased risk of bleeding complications."	0
38	"He had been taking @Chemical$-sulfamethoxazole for approximately eight days when he revisited his family physician, complaining of @Disease$, dizziness, difficulty with speech, weakness, and itching on the trunk of his body and legs, where a maculopapular rash was noted."	1
39	"@Disease$ in relation to plasma osmolality was reversed by @Chemical$ withdrawal, suggesting that bredinin might adversely induce SIADH."	1
40	"Endoscopic @Disease$ rates in healthy subjects associated with use of @Chemical$ (81 mg q.d.) alone or coadministered with celecoxib or naproxen: a randomized, 1-week trial."	0
41	AIM: To evaluate in symptomatic elderly chronic users of low-dose @Chemical$: (1) the association between H. pylori @Disease$ and the prevalence of upper gastrointestinal lesions; and (2) the effect of H. pylori infection on the efficacy of proton pump inhibitors in the prevention of aspirin-related gastroduodenal lesions.	0
42	@Disease$: Does @Chemical$ increase the risk of major bleeds?	0
